"group","longitude","latitude"
31,27.987305,41.854883
31,28.197852,41.554492
31,28.346387,41.466357
31,29.057227,41.229736
31,28.95625,41.008203
31,28.780371,40.97417
31,28.172168,41.080713
31,27.925195,40.990576
31,27.747363,41.013281
31,27.499414,40.973145
31,27.430176,40.839941
31,27.258008,40.687354
31,26.77207,40.498047
31,26.32998,40.123389
31,26.202734,40.075391
31,26.260156,40.202393
31,26.253809,40.314697
31,26.447461,40.44502
31,26.720313,40.544238
31,26.79209,40.626611
31,26.105469,40.611328
31,26.038965,40.726758
31,26.10918,40.749658
31,26.331055,40.954492
31,26.330664,41.23877
31,26.602344,41.35415
31,26.624902,41.401758
31,26.581348,41.60127
31,26.320898,41.716553
31,26.327246,41.772803
31,26.511426,41.826367
31,26.615332,41.964893
31,26.884863,41.991846
31,27.011719,42.058643
31,27.244336,42.093262
31,27.534863,41.920801
31,27.879199,41.986621
31,28.014453,41.969043
31,27.987305,41.854883
32,11.502441,33.155566
32,11.4735530863134,33
32,8.15484243067186,33
32,8.075586,33.089062
32,7.731348,33.268506
32,7.500195,33.832471
32,7.513867,34.080518
32,7.748535,34.254492
32,7.838281,34.410303
32,8.123438,34.563916
32,8.245605,34.734082
32,8.276855,34.979492
32,8.394238,35.203857
32,8.316406,35.403125
32,8.318066,35.654932
32,8.24707,35.801807
32,8.34873,36.367969
32,8.302734,36.455615
32,8.207617,36.518945
32,8.369629,36.63252
32,8.444238,36.760742
32,8.60127,36.833936
32,8.576563,36.937207
32,8.823535,36.997607
32,9.141992,37.194629
32,9.687988,37.340381
32,9.838477,37.308984
32,9.783984,37.211426
32,9.830273,37.135352
32,9.896387,37.181641
32,9.875586,37.25415
32,10.087402,37.25127
32,10.196387,37.205859
32,10.18877,37.033887
32,10.334082,36.865381
32,10.293262,36.781494
32,10.412305,36.731836
32,10.518164,36.791357
32,10.571289,36.879443
32,10.766211,36.930273
32,10.951367,37.059277
32,11.053906,37.07251
32,11.12666,36.874072
32,10.967188,36.743018
32,10.798145,36.493115
32,10.525684,36.32334
32,10.476562,36.175146
32,10.505762,36.032422
32,10.59082,35.887256
32,11.004297,35.633838
